CCT,Plantel,Subnivel,Subsistema,Municipio,Localidad,Colonia/Asentamiento,Calle,NumExt,Sostenimiento,Dependencia,Dominio (institucional público),Fuente (si aplica)
22MMS0122C,ESCUELA PREPARATORIA DEL INSTITUTO PLANCARTE,BACHILLERATO GENERAL,PRIVADO,QUERÉTARO,SANTIAGO DE QUERÉTARO,CIMATARIO,CALLE FLORENCIO ROSAS,1.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0119P,INSTITUTO CHAMPAGNAT,BACHILLERATO GENERAL,PRIVADO,QUERÉTARO,SANTIAGO DE QUERÉTARO,HERCULES,AVENIDA HERCULES,182.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0272J,INSTITUTO DE LA JUVENTUD JOSÉ MARTÍ,BACHILLERATO GENERAL,PRIVADO,QUERÉTARO,SANTIAGO DE QUERÉTARO,CENTRO,CALLE MIGUEL HIDALGO,171.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0188L,INSTITUTO DE LIDERAZGO IDEL,BACHILLERATO GENERAL,PRIVADO,QUERÉTARO,SANTIAGO DE QUERÉTARO,PATHÉ,CALLE J. ASUNCION ROMERO,1.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0314S,INSTITUTO EDUCATIVO GEORGE TOWN,BACHILLERATO GENERAL,PRIVADO,QUERÉTARO,SANTIAGO DE QUERÉTARO,EUCALIPTOS,BOULEVARD BERNARDO QUINTANA ARRIOJA,4032.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0296T,INSTITUTO EX NOVO,BACHILLERATO GENERAL,PRIVADO,QUERÉTARO,SANTIAGO DE QUERÉTARO,CENTRO,CALLE COLON,6.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0317P,INSTITUTO INTERAMERICANO DE CIENCIAS DE LA SALUD,BACHILLERATO GENERAL,PRIVADO,QUERÉTARO,SANTIAGO DE QUERÉTARO,CENTRO,AVENIDA UNIVERSIDAD ORIENTE,34.0,PRIVADO,SOCIEDAD CIVIL,,
22MMS0197T,"INSTITUTO LA PAZ DE QUERETARO, A.C.",BACHILLERATO GENERAL,PRIVADO,QUERÉTARO,SANTIAGO DE QUERÉTARO,ACUEDUCTO,CALLE EL SOL,40.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0152X,INSTITUTO LEÓN Y GAMA,BACHILLERATO GENERAL,PRIVADO,QUERÉTARO,SANTIAGO DE QUERÉTARO,SAN PEDRITO PEÑUELAS I,AVENIDA TECNICOS,254.0,PRIVADO,ASOCIACIÓN CIVIL,,
22MMS0121D,INSTITUTO MARCIANO TINAJERO Y ESTRADA,BACHILLERATO GENERAL,PRIVADO,QUERÉTARO,SANTIAGO DE QUERÉTARO,CENTRO,CALLE OCAMPO,77.0,PRIVADO,ASOCIACIÓN CIVIL,,
